acrePrice improvements tillable financing crpPct productivity NW SC SE SW WC
3359 0 96 title_transfer 0 54 No No No No Yes
3414 0 98 title_transfer 0 49 No No No No Yes
3979 0 99 title_transfer 4 51 No No No No Yes
2059 1 41 title_transfer 0 53 No No No No Yes
2609 0 90 title_transfer 0 54 No No No No Yes
3335 0 92 title_transfer 0 51 No No No No Yes
3505 0 100 title_transfer 0 50 No No No No Yes
5856 0 98 title_transfer 0 72 No Yes No No No
3824 1 97 seller_financed 0 63 No Yes No No No
4380 0 91 title_transfer 0 40 No Yes No No No
3528 0 70 title_transfer 0 43 No Yes No No No
4333 0 57 title_transfer 0 69 No Yes No No No
5187 0 96 title_transfer 0 54 No Yes No No No
4475 0 97 seller_financed 0 65 No Yes No No No
3579 4 59 seller_financed 0 72 No Yes No No No
3313 0 89 title_transfer 0 57 No Yes No No No
4775 0 58 title_transfer 0 46 No Yes No No No
5716 0 98 title_transfer 0 62 No Yes No No No
6287 0 97 seller_financed 0 74 No Yes No No No
5610 0 99 title_transfer 0 83 No Yes No No No
4453 0 88 title_transfer 0 66 No Yes No No No
6463 0 96 title_transfer 0 84 No Yes No No No
5500 0 82 title_transfer 0 82 No Yes No No No
5100 0 90 title_transfer 0 65 No Yes No No No
2910 0 100 title_transfer 0 46 No Yes No No No
2875 16 59 title_transfer 23 49 No Yes No No No
3191 0 92 title_transfer 85 61 No Yes No No No
3700 0 94 title_transfer 0 37 No No No No Yes
3776 0 100 seller_financed 20 69 No No No No Yes
5495 0 97 seller_financed 2 58 No No No No Yes
3315 22 78 title_transfer 15 39 No No No No Yes
4115 0 85 title_transfer 0 62 No No No No Yes
4874 0 95 title_transfer 0 61 No No No No Yes
7135 37 92 title_transfer 1 66 No No No No Yes
5333 0 94 title_transfer 0 70 No No No No Yes
5831 0 96 title_transfer 0 71 No No No No Yes
5328 0 95 title_transfer 0 68 No No No No Yes
5278 0 92 title_transfer 0 68 No No No No Yes
4959 0 96 title_transfer 0 68 No No No No Yes
4253 0 98 title_transfer 0 64 No No No No Yes
2558 0 98 title_transfer 95 38 No No No No Yes
4832 0 93 title_transfer 0 63 No No No No Yes
6250 0 94 title_transfer 0 79 No No No Yes No
4378 0 92 title_transfer 6 56 No No No Yes No
6510 0 96 title_transfer 0 76 No No No Yes No
4799 1 96 title_transfer 0 69 No No No Yes No
5920 0 97 title_transfer 6 79 No No No Yes No
5216 8 86 title_transfer 0 65 No No No Yes No
5501 0 98 title_transfer 0 65 No No No Yes No
5283 0 92 title_transfer 0 67 No No No Yes No
5233 0 97 title_transfer 0 76 No No No Yes No
5793 0 98 title_transfer 0 81 No No Yes No No
5569 0 94 title_transfer 0 78 No No Yes No No
5781 0 88 title_transfer 0 86 No No Yes No No
4794 0 80 title_transfer 0 79 No No Yes No No
5888 0 66 title_transfer 0 67 No No Yes No No
7590 0 95 title_transfer 1 84 No No Yes No No
4345 0 79 title_transfer 0 80 No No Yes No No
11450 63 55 title_transfer 0 79 No No Yes No No
6044 1 93 title_transfer 0 81 No No Yes No No
6240 0 94 title_transfer 0 77 No No Yes No No
2325 0 89 seller_financed 0 60 No No No No Yes
1835 3 59 title_transfer 59 34 No No No No Yes
4615 0 65 title_transfer 27 50 No No No No Yes
2240 0 73 title_transfer 0 48 No No No No Yes
4106 16 93 seller_financed 2 32 No No No No Yes
3167 31 73 title_transfer 0 59 No No No No Yes
2771 0 88 title_transfer 0 57 No No No No Yes
2838 24 77 title_transfer 0 54 No No No No Yes
2877 0 90 title_transfer 0 59 No No No No Yes
1722 0 85 title_transfer 19 64 No No No No Yes
2467 0 58 title_transfer 0 49 No No No No Yes
1608 0 88 seller_financed 4 46 No No No No Yes
1531 0 67 title_transfer 0 64 No No No No Yes
